0 , 4
1 , 0
2 , 8
3 , 8
4 , 5
5 , 1
6 , 3
7 , 4
8 , 6
9 , 8
10 , 1
11 , 5
12 , 1
13 , 8
14 , 4
15 , 6
16 , 1
17 , 9
18 , 8
19 , 2
20 , 4
21 , 1
22 , 6
23 , 7
24 , 9
25 , 8
26 , 4
27 , 1
28 , 4
29 , 9
30 , 8
31 , 7
32 , 0
33 , 6
34 , 9
35 , 0
36 , 2
37 , 3
38 , 4
39 , 1
40 , 3
41 , 7
42 , 1
43 , 0
44 , 2
45 , 6
46 , 0
47 , 1
48 , 9
49 , 8
50 , 5
51 , 6
52 , 1
53 , 6
54 , 7
55 , 8
56 , 1
57 , 0
58 , 5
59 , 4
60 , 4
61 , 9
62 , 0
63 , 6
64 , 1
65 , 6
66 , 1
67 , 2
68 , 1
69 , 7
70 , 5
71 , 4
72 , 9
73 , 3
74 , 7
75 , 0
76 , 1
77 , 0
78 , 0
79 , 6
80 , 8
81 , 5
82 , 9
83 , 2
84 , 3
85 , 3
86 , 4
87 , 4
88 , 4
89 , 6
90 , 4
91 , 0
92 , 5
93 , 3
94 , 5
95 , 4
96 , 8
97 , 0
98 , 1
99 , 8
100 , 1
101 , 3
102 , 0
103 , 4
104 , 2
105 , 5
106 , 9
107 , 6
108 , 7
109 , 5
110 , 0
111 , 5
112 , 1
113 , 1
114 , 7
115 , 5
116 , 3
117 , 9
118 , 4
119 , 2
120 , 8
121 , 5
122 , 7
123 , 9
124 , 8
125 , 4
126 , 1
127 , 6
128 , 7
129 , 3
130 , 0
131 , 7
132 , 8
133 , 4
134 , 4
135 , 1
136 , 8
137 , 6
138 , 9
139 , 4
140 , 0
141 , 2
142 , 9
143 , 7
144 , 5
145 , 9
146 , 6
147 , 6
148 , 6
149 , 0
150 , 3
151 , 6
152 , 2
153 , 6
154 , 2
155 , 0
156 , 8
157 , 1
158 , 8
159 , 4
160 , 3
161 , 5
162 , 0
163 , 4
164 , 7
165 , 5
166 , 4
167 , 1
168 , 4
169 , 8
170 , 2
171 , 6
172 , 3
173 , 9
174 , 2
175 , 6
176 , 9
177 , 9
178 , 6
179 , 9
180 , 7
